District,Area,Year,Max_Temp,Min_Temp,Rainfall,Humidity,Wind,Cloud,Sunshine,ALT,Productions,PPH
4,6004,2011,30.575,15.025,4.25,76.5,1.75,1.15,7,10,4964,0.826782145
5,715,2011,30.975,16.175,2.75,64.75,2.025,1.325,5.55,9,565,0.79020979
6,42092,2011,29.375,13.1,3.25,76.25,1.625,1.225,6.35,37,46696,1.109379455
7,63811,2011,31.075,14.95,7.75,75.75,1.9,0.975,6.45,9,72338,1.133628998
8,7692,2011,31.9,13.45,9,78.25,3.475,0.95,4.75,7,7795,1.013390536
9,306,2011,31.525,16,22.5,79,1.175,1.05,6.825,4,282,0.921568627
11,88,2011,30.575,16.625,1.5,77.25,3,1.25,5.675,6,62,0.704545455
12,76465,2011,30.3,13.275,3,77.5,2.2,1.25,5.75,14,82858,1.083606879
13,0,2011,32,15.7,3.75,80.5,1.75,1.125,7.025,3,0,#DIV/0!
14,68057,2011,29.925,13.3,1.75,77.25,1.875,1.2,6.125,20,87008,1.278457763
16,8241,2011,28.95,13.575,2.5,77.75,2.325,1.65,6.35,34,7577,0.919427254
17,413,2011,31.35,15.15,2.5,71.25,3.1,1.9,7.075,35,335,0.811138015
1,2239,2012,30.625,14.2,12.5,81,1.325,1.375,6.7,4,1552,0.693166592
2,4300,2012,30.35,13.925,14.75,75.75,2.325,1.55,5.25,20,4221,0.981627907
3,12,2012,30.675,16.175,0.75,74,6.375,1.325,8.028,6,8,0.666666667
4,4140,2012,30,14.675,27,76,1.725,1.425,6.85,10,3933,0.95
5,586,2012,30.35,15.85,20.25,66.5,1.8,1.3,5.025,9,513,0.875426621
6,46920,2012,29.2,12.275,2.75,77,1.325,1.35,5.425,37,59355,1.265025575
7,75410,2012,30.325,14.275,32.5,77,1.9,1.3,6.475,9,90695,1.202691951
8,11527,2012,31.125,12.925,21,77,3.575,1.025,5.45,7,13158,1.141493884
9,1370,2012,30.775,15.025,22.5,82.75,1.2,1.325,6.925,4,1102,0.804379562
10,3487,2012,30.075,14,9.25,79.5,0.85,1.475,4.6,19,2671,0.765987955
11,86,2012,30.4,16.1,9.25,76,2.525,1.275,6.55,6,62,0.720930233
12,81792,2012,29.25,12.425,29,81,1.8,1.375,6,14,107713,1.316913635
13,0,2012,31.325,15,19,79.75,2.275,1.475,7.275,3,0,#DIV/0!
14,73957,2012,29.725,12.775,31,79,1.85,1.6,6.025,20,97422,1.317278959
16,6942,2012,28.975,13.125,3.5,79,1.775,1.8,5.425,34,7053,1.015989628
17,367,2012,31.625,15.225,13.75,74.5,3,2.05,6.9,35,350,0.953678474
18,16364,2012,29.85,13.6,27,79.5,2.025,1.4,5.7,10,15515,0.94811782
