District,Area,Year,Max_Temp,Min_Temp,Rainfall,Humidity,Wind,Cloud,Sunshine,ALT,Productions,PPH
10,162530,1973,35.53333333,23.6,247.6666667,78.33333333,0.733333333,5.3,5.72,19,125070,0.769519473
11,136110,1973,33.63333333,24.83333333,336.6666667,85.66666667,1.633333333,3.833333333,6.063218391,6,147015,1.080119021
12,64700,1973,38.96666667,24.16666667,367,74,4.333333333,5.066666667,6.871264368,14,59860,0.925193199
13,64285,1973,34.93333333,24.13333333,489.6666667,82.66666667,3.3,6.433333333,5.491954023,3,63645,0.990044334
14,125005,1973,36.93333333,24.56666667,241,74.33333333,1.433333333,5.1,6.985714286,20,119685,0.957441702
16,55860,1973,33.3,22.83333333,386.3333333,84,1.066666667,4.033333333,6.233333333,34,51205,0.916666667
17,491435,1973,31.8,22.7,551.3333333,81,1.5,5.733333333,4.966666667,35,192660,0.392035569
2,59695,1974,36.13333333,24.13333333,198.3333333,81.66666667,1.333333333,4.1,7.4,20,38920,0.651980903
3,204655,1974,33.6,24.03333333,453.6666667,82.66666667,4.6,5,7.2,6,201380,0.983997459
4,248565,1974,35.26666667,23.9,308.3333333,78.66666667,2.933333333,4.333333333,6.435353535,10,220010,0.885120592
5,240985,1974,33.66666667,24.7,247.6666667,77.66666667,1.933333333,4.833333333,7.9,9,191975,0.796626346
6,21965,1974,33.9,23.36666667,181.6666667,70.66666667,1.033333333,3.7,6.5,37,20535,0.934896426
7,73305,1974,36.3,22.5,268.6666667,81.66666667,1.833333333,4.666666667,6.687356322,9,67705,0.923606848
8,34160,1974,36.93333333,24.53333333,135.3333333,77.33333333,3,4.166666667,7.033333333,7,35800,1.048009368
9,53970,1974,36.1,25.33333333,196.3333333,77,2.8,5.066666667,6.862222222,4,35120,0.650731888
10,162505,1974,33.13333333,23.6,232,78.33333333,1.266666667,4.966666667,5.72,19,106425,0.654902926
11,169555,1974,33.6,24.26666667,332,85,1.733333333,4,6.063218391,6,143895,0.848662676
