District,Area,Year,Max_Temp,Min_Temp,Rainfall,Humidity,Wind,Cloud,Sunshine,ALT,Productions,PPH
41923,385775,1973,32.25,25.95,309.5,86.5,1.55,6.6,6.55,9,138340,0.358602813
41863,422110,1973,32.4,25.95,379,84.5,0.85,5.75,4.748,37,162525,0.385029968
41929,489225,1973,33.05,24.5,337.5,86,1.8,6.1,4.694827586,9,138260,0.282610251
41936,607925,1973,33.35,25.7,219,87,2.6,5.9,4.9,7,212720,0.349911584
41947,102755,1973,32.55,26.15,206,87.5,0.85,3.05,4.126666667,4,39345,0.382901075
41886,759010,1973,35.35,25.4,241,85.5,0.85,5.95,4.034285714,19,276755,0.36462629
41953,417350,1973,32.45,24.8,609,88.5,1.75,5.3,4.10862069,6,149690,0.358667785
41907,239815,1973,33.6,26,231,83,4.6,6.15,4.632758621,14,67255,0.280445343
41960,103710,1973,31.55,25.95,491.6794872,89.34615385,2.35,6.65,3.374137931,3,39095,0.376964613
41895,451420,1973,34.15,26.3,204,84,1.25,5.85,4.745714286,20,150530,0.333458863
41859,882970,1973,32.55,26,143,82.5,1.05,3.95,4.747142857,34,294095,0.333074736
41891,342630,1973,31.85,25.05,690.5,86.5,1.2,6.95,6.45,35,144580,0.421971223
41883,316915,1974,36.4,25.75,445,87.5,1.4,6,3.9,20,111860,0.352965306
41978,219465,1974,32.3,24.65,738.5,90.5,5.7,6.85,3.75,6,159125,0.725058665
41933,255630,1974,32.1,25.15,517,86,3.7,6.55,4.9,10,93930,0.367445136
41923,428705,1974,31.7,26.2,330.5,84.5,1.7,6.4,4.15,9,154415,0.360189408
41863,455420,1974,32.4,25.95,379,84.5,0.85,5.75,4.748,37,167430,0.367638663
41929,572305,1974,33.1,23.85,433,91.5,1.7,6.75,4.694827586,9,176270,0.308000105
41936,689660,1974,33.55,25.4,394.5,88.5,2.5,6.45,3.1,7,263875,0.382616072
41947,108965,1974,35.6,25.95,617,86,3.1,7.05,4.126666667,4,53135,0.487633644
41886,767605,1974,36.4,24.8,335,85.5,0.35,6.4,4.034285714,19,319040,0.415630435
41953,288995,1974,32.25,24.85,601.5,89,1.85,6.25,4.10862069,6,93545,0.323690721
41907,292380,1974,35.3,25.9,384,85.5,3.55,7,4.632758621,14,86510,0.295882071
41960,132320,1974,31.4,25.85,491.6794872,89.34615385,1.95,6.3,3.374137931,3,29265,0.22116838
41895,425855,1974,34.15,25.9,482.5,85.5,0.6,5.65,4.745714286,20,154075,0.361801552
41859,989435,1974,32.55,26,398,85.5,1.35,5.7,4.747142857,34,295575,0.298731094
41891,396310,1974,33.35,24.75,991,89,0.75,7.3,3.25,35,200985,0.507140875
41883,306850,1975,35,25.6,298.5,87.5,1.4,5.5,6,20,97165,0.316653088
41978,207375,1975,33.3,24.75,600,87,5.45,6.05,4.5,6,137855,0.664761905
41933,477490,1975,33.05,25.1,329.5,83,3.75,6,4.9,10,193045,0.404291189
41923,414945,1975,33.3,25.7,433,87,1.5,6.2,5.65,9,152100,0.366554604
41863,475230,1975,32.4,25.95,379,84.5,0.85,5.75,4.748,37,178225,0.375028933
41929,585000,1975,33.75,25.7,407.5,87,2,6.8,4.694827586,9,171920,0.293880342
41936,710400,1975,33.85,25.2,286,88,3.3,6.25,4.85,7,275895,0.388365709
41947,105785,1975,32.15,26.15,303.5,87.5,1.6,5.75,4.126666667,4,45630,0.431346599
41886,782910,1975,34.75,25.85,92.5,85.5,0.25,5.8,4.034285714,19,330305,0.42189396
41953,395450,1975,31.4,25.15,691.5,88.5,1.6,5.55,4.10862069,6,166325,0.420596788
41907,342900,1975,34.7,25.45,424.5,84.5,3.6,6.75,4.632758621,14,105410,0.307407407
41960,113145,1975,32.15,24.55,402,86.5,1.85,6.35,3.374137931,3,36530,0.322860047
41895,454860,1975,34.8,25.9,280,85,0.95,5.2,4.745714286,20,163535,0.359528206
41859,1045000,1975,32.55,26,316,88,0.95,5.05,4.747142857,34,327575,0.3134689
41891,469030,1975,33.35,24.65,899,86.5,0.4,7,4.35,35,251605,0.536436902
41883,292250,1976,33.3,25.75,441,87,1.25,5.2,5.9,20,105640,0.361471343
41978,124050,1976,32.7,24.6,535,86.5,5,6.05,4.5,6,64520,0.520112858
41933,441140,1976,32.75,25.15,476,85,3.8,6.35,4.9,10,182840,0.414471596
41923,406025,1976,32.6,25.55,353.5,87,1.75,6.45,5.75,9,154110,0.379557909
41863,498780,1976,32.4,25.95,379,84.5,0.85,5.75,4.748,37,198530,0.398031196
41929,599775,1976,31.5,25.8,324,86,1.35,6.4,4.694827586,9,143650,0.239506482
41936,676210,1976,34.1,25.2,265.5,87.5,2.8,5.5,4.7,7,253420,0.374765236
41947,106535,1976,33.55,25.7,341.5,86,1.75,6.2,4.126666667,4,47180,0.442859154
41886,752800,1976,33.35,25.05,609.5,85.5,0.15,5.45,4.034285714,19,338320,0.449415515
41953,386670,1976,30.65,25.4,691.5,87,1.75,6.2,4.10862069,6,208840,0.540098792
41907,376580,1976,34.05,24.9,644.5,83.5,3.95,5.75,4.632758621,14,113110,0.300361145
41960,124450,1976,31.4,25.95,472.5,88.5,1.95,6.3,3.374137931,3,49675,0.399156288
41895,497060,1976,34.6,26.05,315.5,86,0.7,5.15,4.745714286,20,177765,0.357632881
41859,994935,1976,32.55,26,468,90,0.8,4.9,4.747142857,34,334430,0.336132511
41891,200000,1976,33.85,24.6,988,88,0.4,6.65,4.45,35,61270,0.30635
41883,289425,1977,35.7,26.5,269,86,1.55,5.6,5.8,20,103635,0.358072039
41978,224980,1977,33.2,24.9,521.5,88.5,2.2,6.5,4.65,6,163640,0.727353543
